recording_id,brainarea,neuronindex,fit_wEA,fit_wDC,recovery_wEA,recovery_wDC
T176_2018_05_04,mPFC,190,-0.745916773697293,-0.133759147322758,-0.745916773697293,-0.133759147322758
T176_2018_05_04,mPFC,220,-0.16396417910313,-0.370708736549726,-0.16396417910313,-0.370708736549726
T176_2018_05_04,mPFC,227,-1.39207078207648,0.0855205236282296,-1.39207078207648,0.0855205236282296
T176_2018_05_04,mPFC,228,0.0124606136780824,-0.974627578331165,0.0124606136780824,-0.974627578331165
T176_2018_05_04,mPFC,229,0.168526107551912,0.551263866905231,0.168526107551912,0.551263866905231
T176_2018_05_04,mPFC,234,-1.44443482318785,0.148653484361375,-1.44443482318785,0.148653484361375
T176_2018_05_04,mPFC,242,-1.24734992305318,-0.184143585644221,-1.24734992305318,-0.184143585644221
T176_2018_05_04,dmFC,270,-0.561603062568685,-0.432506417910851,-0.561603062568685,-0.432506417910851
T176_2018_05_04,dmFC,277,1.56778100087012,0.524174228324024,1.56778100087012,0.524174228324024
T176_2018_05_04,dmFC,278,-0.502077015744154,0.0644587297853597,-0.502077015744154,0.0644587297853597
T176_2018_05_04,dmFC,286,-0.857509500262515,-0.34704941511478,-0.857509500262515,-0.34704941511478
T176_2018_05_04,dmFC,288,-0.0338024928776626,-0.203542834007174,-0.0338024928776626,-0.203542834007174
T176_2018_05_04,dmFC,289,-0.756724573192123,-0.301589134263463,-0.756724573192123,-0.301589134263463
T176_2018_05_04,dmFC,290,-0.60608012493248,-0.323944764296891,-0.60608012493248,-0.323944764296891
T176_2018_05_04,dmFC,295,-2.12420005872479,-0.773316885350524,-2.12420005872479,-0.773316885350524
T176_2018_05_04,dmFC,302,-0.426204026677985,-0.521719806857356,-0.426204026677985,-0.521719806857356
T176_2018_05_04,dmFC,305,1.57083905694373,0.193364619781284,1.57083905694373,0.193364619781284
T176_2018_05_04,dmFC,311,-0.290525252105964,-0.202692629677874,-0.290525252105964,-0.202692629677874
T176_2018_05_04,dmFC,312,0.950206211443791,0.472533342048927,0.950206211443791,0.472533342048927
T176_2018_05_04,dmFC,316,-0.854725195600377,-0.910939178185928,-0.854725195600377,-0.910939178185928
T176_2018_05_04,dmFC,323,1.07040983347053,0.0393099646038858,1.07040983347053,0.0393099646038858
T176_2018_05_04,dmFC,324,-0.390122242882634,-0.276041365662315,-0.390122242882634,-0.276041365662315
T176_2018_05_04,dmFC,328,0.755587757814853,0.84325187374437,0.755587757814853,0.84325187374437
T176_2018_05_04,dmFC,330,-0.313178371999313,-0.340788890192505,-0.313178371999313,-0.340788890192505
T176_2018_05_04,dmFC,331,2.09773114916104,0.77244843735995,2.09773114916104,0.77244843735995
T176_2018_05_04,dmFC,333,-2.03974176431366,-1.10510949069333,-2.03974176431366,-1.10510949069333
T176_2018_05_04,dmFC,335,-1.61603975695663,-1.36517794366204,-1.61603975695663,-1.36517794366204
T176_2018_05_04,dmFC,336,0.46376581350147,0.439234047495347,0.46376581350147,0.439234047495347
T176_2018_05_04,dmFC,337,-0.463791168049438,-0.55617710681952,-0.463791168049438,-0.55617710681952
T176_2018_05_04,dmFC,342,1.031479982551,-0.216407312151167,1.031479982551,-0.216407312151167
